Time,Contract,Qty,Side,Filled/Remaining,Exec.Price,Order Price,Stop Price,Order Value,Trading Fees,Cashflow,Realised P&L,Order Type
2026-04-11 08:13:29.800843+05:30 IST Asia/Kolkata,P-BTC-71400-110426,117,buy,117.00000000/0.00000000,1,1,,0.117,0.0048321,-0.117,3.627,limit_order
2026-04-11 08:13:29.892766+05:30 IST Asia/Kolkata,P-BTC-71400-110426,117,buy,0.00000000/117.00000000,,,127.31,0.117,0,,,market_order
2026-04-11 00:30:10.007027+05:30 IST Asia/Kolkata,P-BTC-71400-110426,117,sell,117.00000000/0.00000000,32,0.1,,0.117,0.1546272,3.744,0,market_order
2026-04-11 13:34:15.071764+05:30 IST Asia/Kolkata,C-BTC-74600-110426,109,buy,109.00000000/0.00000000,1,1,,0.109,0.0045017,-0.109,3.706,limit_order
2026-04-11 13:34:15.167179+05:30 IST Asia/Kolkata,C-BTC-74600-110426,1,buy,0.00000000/1.00000000,,,137.07,0.001,0,,,market_order
2026-04-11 00:30:07.664474+05:30 IST Asia/Kolkata,C-BTC-74600-110426,109,sell,109.00000000/0.00000000,35,0.1,,0.109,0.1575595,3.815,0,market_order
2026-04-09 10:57:03.048535+05:30 IST Asia/Kolkata,P-BTC-68600-090426,84,buy,84.00000000/0.00000000,1,1,,0.084,0.0034692,-0.084,3.108,limit_order
2026-04-09 10:57:03.139222+05:30 IST Asia/Kolkata,P-BTC-68600-090426,64,buy,0.00000000/64.00000000,,,141.72,0.064,0,,,market_order
2026-04-09 00:30:08.685641+05:30 IST Asia/Kolkata,P-BTC-68600-090426,84,sell,84.00000000/0.00000000,38,0.1,,0.084,0.1318296,3.192,0,market_order
2026-04-09 10:19:30.763413+05:30 IST Asia/Kolkata,C-BTC-73200-090426,87,buy,87.00000000/0.00000000,1,1,,0.087,0.0035931,-0.087,2.784,limit_order
2026-04-09 10:19:30.861727+05:30 IST Asia/Kolkata,C-BTC-73200-090426,87,buy,0.00000000/87.00000000,,,137.85,0.087,0,,,market_order
2026-04-09 00:30:06.386653+05:30 IST Asia/Kolkata,C-BTC-73200-090426,87,sell,87.00000000/0.00000000,33,0.1,,0.087,0.1185723,2.871,0,market_order
2026-04-08 04:28:40.694447+05:30 IST Asia/Kolkata,P-BTC-65200-080426,92,buy,92.00000000/0.00000000,1,1,,0.092,0.0037996,-0.092,2.944,limit_order
2026-04-08 04:28:40.744998+05:30 IST Asia/Kolkata,P-BTC-65200-080426,92,buy,0.00000000/92.00000000,,,129.92,0.092,0,,,market_order
2026-04-08 00:30:10.273474+05:30 IST Asia/Kolkata,P-BTC-65200-080426,92,sell,92.00000000/0.00000000,33,0.1,,0.092,0.1253868,3.036,0,market_order
2026-04-08 01:31:34.558533+05:30 IST Asia/Kolkata,C-BTC-70800-080426,91,buy,0.00000000/91.00000000,,1,,0.091,0,,,limit_order
2026-04-08 01:31:34.717401+05:30 IST Asia/Kolkata,C-BTC-70800-080426,91,buy,91.00000000/0.00000000,140,535.4,130.53,0.091,0.526162,-12.74,-9.737,market_order
2026-04-08 00:30:07.724532+05:30 IST Asia/Kolkata,C-BTC-70800-080426,91,sell,91.00000000/0.00000000,33,0.1,,0.091,0.1240239,3.003,0,market_order
2026-04-05 16:05:20.077312+05:30 IST Asia/Kolkata,P-BTC-66400-050426,25,buy,25.00000000/0.00000000,1,1,,0.025,0.0010325,-0.025,0.925,limit_order
2026-04-05 16:05:20.174827+05:30 IST Asia/Kolkata,P-BTC-66400-050426,25,buy,0.00000000/25.00000000,,,151.98,0.025,0,,,market_order
2026-04-04 22:30:08.396353+05:30 IST Asia/Kolkata,P-BTC-66400-050426,25,sell,25.00000000/0.00000000,38,0.1,,0.025,0.039235,0.95,0,market_order
2026-04-05 15:33:06.489513+05:30 IST Asia/Kolkata,C-BTC-68000-050426,21,buy,21.00000000/0.00000000,1,1,,0.021,0.0008673,-0.021,0.861,limit_order
2026-04-05 15:33:06.586515+05:30 IST Asia/Kolkata,C-BTC-68000-050426,21,buy,0.00000000/21.00000000,,,176.95,0.021,0,,,market_order
2026-04-04 22:30:06.081661+05:30 IST Asia/Kolkata,C-BTC-68000-050426,21,sell,21.00000000/0.00000000,42,0.1,,0.021,0.0364266,0.882,0,market_order
2026-04-04 16:09:00.958982+05:30 IST Asia/Kolkata,P-BTC-66200-040426,31,buy,31.00000000/0.00000000,1,1,,0.031,0.0012803,-0.031,1.17869999,limit_order
