Date,True_Net_PnL_After_Fees,net pnl
2025-07-19 00:00:00,1.91395145,0.956975725
2025-07-20 00:00:00,1.91535565,0.957677825
2025-07-21 00:00:00,1.929960038,0.964980019
2025-07-22 00:00:00,1.91518632,0.95759316
2025-07-23 00:00:00,1.9151698,0.9575849
2025-07-24 00:00:00,1.9134352,0.9567176
2025-07-25 00:00:00,-2.098024134,-1.049012067
2025-07-26 00:00:00,-2.2556057,-1.12780285
2025-07-27 00:00:00,1.9221082,0.9610541
2025-07-28 00:00:00,1.9203736,0.9601868
2025-07-29 00:00:00,1.91580995,0.957904975
2025-07-30 00:00:00,1.9166153,0.95830765
2025-07-31 00:00:00,1.9139308,0.9569654
2025-08-01 00:00:00,-2.24666425,-1.123332125
2025-08-02 00:00:00,1.91733805,0.958669025
2025-08-03 00:00:00,-2.199823619,-1.09991181
2025-08-04 00:00:00,1.91486005,0.957430025
2025-08-05 00:00:00,1.914509,0.9572545
2025-08-06 00:00:00,1.9169044,0.9584522
2025-08-07 00:00:00,-0.959995914,-0.479997957
2025-08-08 00:00:00,1.91469485,0.957347425
2025-08-09 00:00:00,1.91655335,0.958276675
2025-08-10 00:00:00,-2.2448264,-1.1224132
2025-08-11 00:00:00,-2.2491629,-1.12458145
2025-08-12 00:00:00,-2.138554278,-1.069277139
2025-08-13 00:00:00,1.91692505,0.958462525
2025-08-14 00:00:00,-2.251517,-1.1257585
2025-08-15 00:00:00,1.9167392,0.9583696
2025-08-16 00:00:00,1.9142612,0.9571306
2025-08-17 00:00:00,1.91494265,0.957471325
2025-08-18 00:00:00,-2.2488325,-1.12441625
2025-08-19 00:00:00,-2.2459415,-1.12297075
2025-08-20 00:00:00,1.9155415,0.95777075
2025-08-21 00:00:00,1.9150046,0.9575023
2025-08-22 00:00:00,1.9138069,0.95690345
2025-08-23 00:00:00,1.9194237,0.95971185
2025-08-24 00:00:00,1.364204573,0.682102286
2025-08-25 00:00:00,-2.118877625,-1.059438813
2025-08-26 00:00:00,-2.2466849,-1.12334245
2025-08-27 00:00:00,-2.243315292,-1.121657646
2025-08-28 00:00:00,1.91609492,0.95804746
2025-08-29 00:00:00,-2.121830917,-1.060915459
2025-08-30 00:00:00,1.9159132,0.9579566
2025-08-31 00:00:00,0.85513629,0.427568145
2025-09-01 00:00:00,-2.120220146,-1.060110073
2025-09-02 00:00:00,-6.332055469,-3.166027735
2025-09-03 00:00:00,1.9147568,0.9573784
2025-09-04 00:00:00,1.9168218,0.9584109
2025-09-05 00:00:00,-2.2501954,-1.1250977
2025-09-06 00:00:00,1.916574,0.958287
2025-09-07 00:00:00,-0.859300684,-0.429650342
2025-09-08 00:00:00,1.9158306,0.9579153
2025-09-09 00:00:00,-2.245735,-1.1228675
2025-09-10 00:00:00,-2.2479652,-1.1239826
2025-09-11 00:00:00,1.931817877,0.965908939
2025-09-12 00:00:00,-2.2452394,-1.1226197
2025-09-13 00:00:00,1.9145916,0.9572958
2025-09-14 00:00:00,1.9189281,0.95946405
2025-09-15 00:00:00,1.083696204,0.541848102
2025-09-16 00:00:00,1.9159958,0.9579979
2025-09-17 00:00:00,1.9174,0.9587
2025-09-18 00:00:00,1.9146742,0.9573371
2025-09-19 00:00:00,-2.241192,-1.120596
2025-09-20 00:00:00,1.9162849,0.95814245
2025-09-21 00:00:00,1.9159958,0.9579979
2025-09-22 00:00:00,-2.203961914,-1.101980957
2025-09-23 00:00:00,1.9159545,0.95797725
2025-09-24 00:00:00,1.9167805,0.95839025
2025-09-25 00:00:00,-2.2467262,-1.1233631
2025-09-26 00:00:00,1.9160784,0.9580392
2025-09-27 00:00:00,1.9174,0.9587
