Time,Contract,Qty,Side,Filled/Remaining,Exec.Price,Order Price,Stop Price,Order Value,Trading Fees,Cashflow,Realised P&L,Order Type
2026-03-11 07:25:45.227472+05:30 IST Asia/Kolkata,P-BTC-66600-110326,31,buy,31/0,1,1,,0.031,0.0012803,-0.031,0.93,limit_order
2026-03-11 07:25:45.320538+05:30 IST Asia/Kolkata,P-BTC-66600-110326,31,buy,0/31,,,122.78,0.031,0,,,market_order
2026-03-11 00:30:08.786615+05:30 IST Asia/Kolkata,P-BTC-66600-110326,31,sell,31/0,31,0.1,,0.031,0.0396893,0.961,0,market_order
2026-03-11 09:25:28.776460+05:30 IST Asia/Kolkata,C-BTC-72600-110326,32,buy,32/0,1,1,,0.032,0.0013216,-0.032,0.96,limit_order
2026-03-11 09:25:28.866562+05:30 IST Asia/Kolkata,C-BTC-72600-110326,30,buy,0/30,,,119.36,0.03,0,,,market_order
2026-03-11 00:30:06.451886+05:30 IST Asia/Kolkata,C-BTC-72600-110326,32,sell,32/0,31,0.1,,0.032,0.0409696,0.992,0,market_order
2026-03-08 15:07:06.635912+05:30 IST Asia/Kolkata,P-BTC-66000-080326,21,buy,21/0,1,1,,0.021,0.0008673,-0.021,0.7434,limit_order
2026-03-08 15:07:06.727546+05:30 IST Asia/Kolkata,P-BTC-66000-080326,21,buy,0/21,,,181.29,0.021,0,,,market_order
2026-03-07 22:30:08.068805+05:30 IST Asia/Kolkata,P-BTC-66000-080326,21,sell,21/0,36.4,0.1,,0.021,0.03156972,0.7644,0,market_order
2026-03-08 10:17:24.557184+05:30 IST Asia/Kolkata,C-BTC-69200-080326,28,buy,28/0,1,1,,0.028,0.0011564,-0.028,0.98,limit_order
2026-03-08 10:17:24.651518+05:30 IST Asia/Kolkata,C-BTC-69200-080326,28,buy,0/28,,,136.61,0.028,0,,,market_order
2026-03-07 22:30:05.983095+05:30 IST Asia/Kolkata,C-BTC-69200-080326,28,sell,28/0,36,0.1,,0.028,0.0416304,1.008,0,market_order
2026-03-07 15:37:24.690214+05:30 IST Asia/Kolkata,P-BTC-66400-070326,16,buy,16/0,1,1,,0.016,0.0006608,-0.016,1.088,limit_order
2026-03-07 15:37:24.791717+05:30 IST Asia/Kolkata,P-BTC-66400-070326,16,buy,0/16,,,287.45,0.016,0,,,market_order
2026-03-07 00:30:10.306829+05:30 IST Asia/Kolkata,P-BTC-66400-070326,16,sell,16/0,69,0.1,,0.016,0.0455952,1.104,0,market_order
2026-03-07 12:43:32.314833+05:30 IST Asia/Kolkata,C-BTC-70000-070326,38,buy,38/0,1,1,,0.038,0.0015694,-0.038,1.216,limit_order
2026-03-07 12:43:32.410317+05:30 IST Asia/Kolkata,C-BTC-70000-070326,38,buy,0/38,,,123.39,0.038,0,,,market_order
2026-03-07 00:30:07.791646+05:30 IST Asia/Kolkata,C-BTC-70000-070326,38,sell,38/0,33,0.1,,0.038,0.0517902,1.254,0,market_order
2026-03-05 11:48:32.244571+05:30 IST Asia/Kolkata,P-BTC-69200-050326,32,buy,32/0,1,1,,0.032,0.0013216,-0.032,0.832,limit_order
2026-03-05 11:48:32.336490+05:30 IST Asia/Kolkata,P-BTC-69200-050326,32,buy,0/32,,,117.31,0.032,0,,,market_order
2026-03-05 00:30:07.679378+05:30 IST Asia/Kolkata,P-BTC-69200-050326,32,sell,32/0,27,0.1,,0.032,0.0356832,0.864,0,market_order
2026-03-05 13:22:55.044626+05:30 IST Asia/Kolkata,C-BTC-75200-050326,6,buy,6/0,1,1,,0.006,0.0002478,-0.006,1.044,limit_order
2026-03-05 13:22:55.137338+05:30 IST Asia/Kolkata,C-BTC-75200-050326,6,buy,0/6,,,644.43,0.006,0,,,market_order
2026-03-05 00:30:05.554092+05:30 IST Asia/Kolkata,C-BTC-75200-050326,6,sell,6/0,175,0.1,,0.006,0.043365,1.05,0,market_order
2026-03-04 11:25:32.440132+05:30 IST Asia/Kolkata,P-BTC-64800-040326,26,buy,26/0,1,1,,0.026,0.0010738,-0.026,0.884,limit_order
2026-03-04 11:25:32.536804+05:30 IST Asia/Kolkata,P-BTC-64800-040326,26,buy,0/26,,,144.15,0.026,0,,,market_order
2026-03-04 00:30:08.936593+05:30 IST Asia/Kolkata,P-BTC-64800-040326,26,sell,26/0,35,0.1,,0.026,0.037583,0.91,0,market_order
2026-03-04 11:02:56.141635+05:30 IST Asia/Kolkata,C-BTC-71600-040326,29,buy,29/0,1,1,,0.029,0.0011977,-0.029,0.986,limit_order
2026-03-04 11:02:56.235216+05:30 IST Asia/Kolkata,C-BTC-71600-040326,29,buy,0/29,,,132.27,0.029,0,,,market_order
2026-03-04 00:30:06.817976+05:30 IST Asia/Kolkata,C-BTC-71600-040326,29,sell,29/0,35,0.1,,0.029,0.0419195,1.015,0,market_order
2026-03-01 07:32:00.311928+05:30 IST Asia/Kolkata,P-BTC-62000-010326,30,buy,30/0,1,1,,0.03,0.001239,-0.03,0.99,limit_order
2026-03-01 07:32:00.358436+05:30 IST Asia/Kolkata,P-BTC-62000-010326,30,buy,0/30,,,126.83,0.03,0,,,market_order
2026-02-28 22:30:09.101801+05:30 IST Asia/Kolkata,P-BTC-62000-010326,30,sell,30/0,34,0.1,,0.03,0.042126,1.02,0,market_order
2026-03-01 00:25:15.089630+05:30 IST Asia/Kolkata,C-BTC-66800-010326,31,buy,0/31,,1,,0.031,0,,,limit_order
2026-03-01 00:25:15.282713+05:30 IST Asia/Kolkata,C-BTC-66800-010326,31,buy,31/0,119.5,626.8,122.52,0.031,0.15299585,-3.7045,-2.7745,market_order
